,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
455,J. Foote,New Orleans,0,0,0,2,0,6,0,4,5,1,2,1
456,M. Lee,Minnesota,8,2,2,4,1,11,2,7,6,3,7,2
457,J. Smith,New Jersey,4,0,0,2,1,8,6,4,5,2,0,2
458,S. Young,Philadelphia,2,4,6,4,1,19,3,6,12,5,3,6
459,M. Ellis,Milwaukee,48,27,37,47,2,112,16,9,25,3,20,11
460,E. Udoh,Milwaukee,11,9,11,14,0,40,1,9,27,16,4,5
461,R. Sessions,LA Lakers,59,32,43,27,8,52,15,9,28,3,22,5
462,C. Fortson,Houston,4,3,4,4,1,9,7,5,4,2,4,3
463,G. Wallace,New Jersey,28,34,39,35,12,87,34,9,51,16,16,23
464,S. Jackson,San Antonio,9,10,15,17,8,30,23,7,22,2,10,5
465,R. Jefferson,Golden State,15,12,19,17,13,46,37,9,32,3,10,3
466,D. Sloan,Cleveland,19,3,4,15,1,33,9,9,17,4,11,6
467,N. Young,LA Clippers,5,22,26,21,14,53,40,9,14,6,14,10
468,B. Cook,Washington,2,0,0,1,2,4,6,3,6,0,1,0
469,M. Camby,Houston,7,5,12,14,0,28,0,7,40,18,2,3
470,W. Chandler,Denver,17,10,12,28,3,65,12,7,35,6,18,9
471,L. Barbosa,Indiana,8,8,13,13,6,38,16,8,12,2,10,8
472,J. Hill,LA Lakers,0,0,0,1,0,3,0,2,1,2,0,0
473,J. Flynn,Portland,13,4,6,3,2,9,4,5,2,2,3,2
474,H. Thabeet,Portland,0,4,4,1,0,3,0,3,2,1,1,1
475,N. Hilário,Washington,13,17,24,36,0,65,1,6,41,15,10,7
476,E. Ubiles,Washington,1,3,3,4,1,13,5,4,8,2,1,3
477,D. Fisher,Oklahoma City,5,3,3,5,3,16,12,5,7,0,2,3
478,J. McGee,Denver,3,8,17,30,0,50,0,6,30,12,6,9
479,M. Gladness,Golden State,0,0,1,6,0,12,0,6,6,2,1,1
480,G. Arenas,Memphis,6,0,0,4,0,10,6,3,7,1,4,2
481,R. Turiaf,Miami,2,4,8,8,0,11,0,5,15,6,2,1
482,R. Hollins,Boston,0,3,8,5,0,8,0,5,3,3,1,1
483,B. Diaw,San Antonio,10,2,2,5,0,8,4,5,15,3,7,0
484,J. Hickson,Portland,4,8,18,36,0,55,0,5,17,12,7,4
485,J. Dentmon,San Antonio,1,0,0,2,0,2,4,2,1,0,1,0
486,K. Benson,Golden State,0,0,0,0,0,1,0,2,1,2,0,0
487,T. Williams,Sacramento,10,4,7,14,2,23,10,5,12,2,6,1
488,L. Walton,Cleveland,5,0,0,3,3,10,5,5,5,2,8,0
489,A. Anderson,Toronto,5,4,4,2,1,5,3,3,2,3,2,3
490,E. Boykins,Houston,8,10,10,4,0,10,2,3,3,0,6,1
491,P. Mills,San Antonio,0,0,0,2,1,3,2,2,1,0,1,0
492,B. Uzoh,Toronto,3,1,2,2,0,5,1,2,1,0,1,0
493,C. Martin,Washington,0,0,2,6,6,8,11,2,9,2,1,2
494,L. Hudson,Cleveland,5,0,0,3,0,6,6,2,7,0,4,1
