Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
A. Tolliver,Charlotte,35,30,37,26,90,57,223,60,116,31,21,37
A. Tolliver,Detroit,171,171,221,122,286,221,753,180,462,113,106,117
A. Tolliver,Golden State,70,76,96,102,45,221,129,36,177,71,38,34
A. Tolliver,Memphis,10,9,10,3,18,9,43,14,30,6,9,6
A. Tolliver,Minnesota,122,169,213,126,137,265,369,149,392,133,101,74
A. Tolliver,Phoenix,10,4,6,2,24,12,62,23,38,6,11,7
A. Tolliver,Portland,29,13,19,13,30,28,90,34,84,27,21,9
A. Tolliver,Sacramento,70,52,70,60,90,115,231,69,179,52,56,36
A. Toupane,Denver,11,6,7,7,9,18,30,16,14,7,4,10
A. Toupane,Milwaukee,0,0,0,0,0,0,1,1,0,0,0,0
A. Trier,New York,147,209,260,212,71,439,185,88,189,37,138,76
A. Tucker,Minnesota,1,0,0,4,0,9,0,4,2,1,1,1
A. Tucker,Phoenix,3,16,21,12,1,23,7,9,2,5,4,9
A. Varejão,Cleveland,442,417,600,976,1,1854,26,269,1572,790,312,230
A. Varejão,Golden State,24,22,34,24,0,56,0,31,43,22,14,5
A. White,Atlanta,5,1,4,7,18,24,45,14,28,4,7,3
A. Wiggins,Golden State,43,40,60,66,20,129,59,12,37,18,25,23
A. Wiggins,Minnesota,924,1576,2164,2462,480,5248,1452,408,1258,510,854,910
A. Williams,Brooklyn,3,2,4,6,0,9,1,4,13,4,1,1
A. Williams,Phoenix,24,60,102,120,0,237,1,45,185,84,42,28
A. Wright,Sacramento,0,0,0,1,0,4,4,4,1,2,1,2
A. Wright,Toronto,66,42,63,95,51,202,156,62,138,34,52,51
A. Žižić,Cleveland,55,109,151,241,0,425,0,100,274,132,73,42
B. Adebayo,Miami,715,620,865,961,3,1707,33,229,1332,484,421,156
B. Bass,Boston,290,523,631,1076,11,2223,36,265,966,452,284,225
